descriptor_id	trace_id	size	live_count	allocation_calls	requested_bytes
10530	6063	184	76	76	13984
10531	6064	184	76	76	13984
10532	6065	184	76	76	13984
4523	3877	464	30	30	13920
8289	6042	4434	3	3	13302
10297	6062	64	207	207	13248
10298	6063	64	207	207	13248
10299	6064	64	207	207	13248
10300	6065	64	207	207	13248
10243	6062	56	234	234	13104
10244	6063	56	234	234	13104
10245	6064	56	234	234	13104
10246	6065	56	234	234	13104
13474	7296	56	233	551	13048
23751	8471	12968	1	1	12968
10184	6062	108	119	119	12852
10185	6063	108	119	119	12852
10186	6064	108	119	119	12852
10187	6065	108	119	119	12852
10172	6062	88	145	145	12760
10173	6063	88	145	145	12760
10174	6064	88	145	145	12760
10175	6065	88	145	145	12760
24475	10910	12607	1	1	12607
3911	3535	8	1572	1762	12576
3725	3444	8	1570	1589	12560
32167	34026	24	517	18612	12408
3988	3600	8	1540	2859	12320
5987	6042	12303	1	1	12303
5621	5814	12288	1	1	12288
5622	5818	12288	1	1	12288
5662	5845	12288	1	1	12288
5698	5876	12288	1	1	12288
24417	10800	12288	1	1	12288
24493	10928	12288	1	1	12288
5891	6042	12110	1	1	12110
3986	3596	8	1508	1998	12064
10289	6062	72	167	167	12024
10290	6063	72	167	167	12024
10291	6064	72	167	167	12024
10292	6065	72	167	167	12024
5316	5557	12000	1	1	12000
4168	3774	12	997	997	11964
9189	6042	11682	1	1	11682
4164	3783	32	362	522	11584
28187	21606	11264	1	1	11264
3944	3545	192	58	58	11136
10168	6062	96	116	116	11136
10169	6063	96	116	116	11136
10170	6064	96	116	116	11136
10171	6065	96	116	116	11136
10196	6062	192	58	58	11136
10197	6063	192	58	58	11136
10198	6064	192	58	58	11136
10199	6065	192	58	58	11136
20158	7949	176	63	63	11088
3726	3441	32	345	345	11040
19946	7805	5504	2	1082	11008
19996	7852	5504	2	1070	11008
20054	7921	5504	2	1082	11008
3987	3597	4	2732	2732	10928
6037	6042	10777	1	1	10777
8915	6042	10759	1	1	10759
4537	3885	10752	1	1	10752
38362	53588	56	191	197	10696
28561	21444	10620	1	1	10620
5289	5517	104	102	102	10608
10027	6062	12	854	854	10248
10028	6063	12	854	854	10248
10029	6064	12	854	854	10248
10030	6065	12	854	854	10248
6423	6042	10133	1	1	10133
5775	5974	10101	1	1	10101
3930	3544	16	630	720	10080
5284	5511	2520	4	4	10080
5295	5525	2496	4	4	9984
31882	33930	48	208	12896	9984
31992	33960	48	208	12896	9984
32102	33990	48	208	9568	9984
27665	21444	9979	1	1	9979
4207	3818	16	619	789	9904
8011	6042	4897	2	2	9794
9185	6042	9658	1	1	9658
4195	3783	64	148	160	9472
7395	6042	3147	3	3	9441
28230	21702	9360	1	1	9360
10223	6062	100	93	93	9300
10224	6063	100	93	93	9300
10225	6064	100	93	93	9300
10226	6065	100	93	93	9300
10097	6062	40	232	232	9280
10098	6063	40	232	232	9280
10099	6064	40	232	232	9280
10100	6065	40	232	232	9280
9915	6042	9204	1	1	9204
10136	6062	80	114	114	9120
10137	6063	80	114	114	9120
10138	6064	80	114	114	9120
10139	6065	80	114	114	9120
7001	6042	4549	2	2	9098
4145	3783	16	563	1085	9008
10148	6062	208	43	43	8944
10149	6063	208	43	43	8944
10150	6064	208	43	43	8944
10151	6065	208	43	43	8944
24999	13133	4432	2	4	8864
32909	36341	4432	2	3	8864
39530	58968	4432	2	2	8864
9187	6042	8683	1	1	8683
24522	10986	8656	1	1	8656
10816	6062	180	48	48	8640
10817	6063	180	48	48	8640
10818	6064	180	48	48	8640
10819	6065	180	48	48	8640
24376	10661	8608	1	1	8608
4054	3660	8528	1	1	8528
9153	6042	8516	1	1	8516
4141	3782	8	1044	2129	8352
24644	11311	8312	1	1	8312
7391	6042	4127	2	2	8254
8181	6042	4125	2	2	8250
24759	11638	8240	1	1	8240
25386	15053	8240	1	1	8240
24379	10677	8224	1	1	8224
6439	6042	1644	5	5	8220
5278	5503	8192	1	1	8192
5281	5506	8192	1	1	8192
12540	6533	8192	1	1	8192
12553	6549	8192	1	1	8192
13148	7170	8192	1	1	8192
13161	7189	8192	1	1	8192
24386	10701	8192	1	1	8192
24733	11566	8192	1	1	8192
24741	11594	8192	1	1	8192
25073	13511	8192	1	1	8192
25369	15032	8192	1	1	8192
24702	11483	8176	1	1	8176
7935	6042	4083	2	2	8166
10044	6062	16	501	501	8016
10045	6063	16	501	501	8016
10046	6064	16	501	501	8016
10047	6065	16	501	501	8016
6825	6042	4004	2	2	8008
5861	6042	665	12	12	7980
10251	6062	60	132	132	7920
10252	6063	60	132	132	7920
10253	6064	60	132	132	7920
10254	6065	60	132	132	7920
30997	32773	360	22	199	7920
7781	6042	3946	2	2	7892
9819	6042	3943	2	2	7886
8529	6042	3839	2	2	7678
9033	6042	3831	2	2	7662
7009	6042	3822	2	2	7644
7089	6042	2542	3	3	7626
9135	6042	2532	3	3	7596
9777	6042	2527	3	3	7581
8619	6042	7577	1	1	7577
5977	6042	2521	3	3	7563
5274	5499	2520	3	3	7560
6487	6042	1890	4	4	7560
9161	6042	3752	2	2	7504
8045	6042	3738	2	2	7476
8551	6042	3700	2	2	7400
3525	3363	32	231	231	7392
3526	3364	32	231	231	7392
3527	3365	32	231	231	7392
7621	6042	1473	5	5	7365
10239	6062	116	63	63	7308
10240	6063	116	63	63	7308
10241	6064	116	63	63	7308
10242	6065	116	63	63	7308
4222	3774	16	456	456	7296
9085	6042	7282	1	1	7282
9021	6042	7244	1	1	7244
9007	6042	3615	2	2	7230
4170	3812	16	451	451	7216
7425	6042	3600	2	2	7200
7497	6042	1796	4	4	7184
34200	32781	7168	1	1	7168
34201	33632	7168	1	1	7168
34202	32799	7168	1	1	7168
7387	6042	3551	2	2	7102
5905	6042	3550	2	2	7100
7267	6042	3530	2	2	7060
9015	6042	3522	2	2	7044
10323	6062	32	220	220	7040
10324	6063	32	220	220	7040
10325	6064	32	220	220	7040
10326	6065	32	220	220	7040
9083	6042	7005	1	1	7005
4271	3774	52	134	134	6968
10101	6062	44	158	158	6952
10102	6063	44	158	158	6952
10103	6064	44	158	158	6952
10104	6065	44	158	158	6952
27456	21444	6942	1	1	6942
9489	6042	6930	1	1	6930
10319	6062	24	284	284	6816
10320	6063	24	284	284	6816
10321	6064	24	284	284	6816
10322	6065	24	284	284	6816
19952	7808	24	283	25494	6792
20002	7855	24	283	25211	6792
20060	7924	24	283	25494	6792
8617	6042	3374	2	2	6748
10505	6059	480	14	14	6720
6013	6042	2237	3	3	6711
8055	6042	3353	2	2	6706
4278	3774	76	88	88	6688
4038	3633	6592	1	1	6592
6793	6042	3288	2	2	6576
3926	3541	32	205	205	6560
9461	6042	6538	1	1	6538
9463	6042	6537	1	1	6537
8957	6042	3266	2	2	6532
3736	3437	128	51	51	6528
4550	3894	6528	1	1	6528
7259	6042	1087	6	6	6522
6033	6042	1086	6	6	6516
6019	6042	3237	2	2	6474
3915	3541	28	231	231	6468
9179	6042	6465	1	1	6465
9005	6042	3230	2	2	6460
9023	6042	6398	1	1	6398
6685	6042	3188	2	2	6376
3601	3363	424	15	15	6360
3602	3364	424	15	15	6360
3603	3365	424	15	15	6360
8445	6042	3176	2	2	6352
7409	6042	3165	2	2	6330
10164	6062	204	31	31	6324
10165	6063	204	31	31	6324
10166	6064	204	31	31	6324
10167	6065	204	31	31	6324
7799	6042	3157	2	2	6314
10275	6062	84	75	75	6300
10276	6063	84	75	75	6300
10277	6064	84	75	75	6300
10278	6065	84	75	75	6300
24671	11393	6296	1	1	6296
28127	22858	6288	1	1	6288
10048	6062	8	780	780	6240
10049	6063	8	780	780	6240
10050	6064	8	780	780	6240
10051	6065	8	780	780	6240
24422	10812	6240	1	1	6240
7501	6042	3100	2	2	6200
8485	6042	1545	4	4	6180
24586	11157	6176	1	1	6176
5136	5308	6144	1	1	6144
7421	6042	3062	2	2	6124
5809	6042	680	9	9	6120
9625	6042	6107	1	1	6107
8041	6042	3052	2	2	6104
10271	6062	68	89	89	6052
10272	6063	68	89	89	6052
10273	6064	68	89	89	6052
10274	6065	68	89	89	6052
9201	6042	3025	2	2	6050
8911	6042	6042	1	1	6042
6415	6042	1208	5	5	6040
9773	6042	6037	1	1	6037
8039	6042	3010	2	2	6020
9121	6042	6001	1	1	6001
29240	25381	5984	1	1	5984
7987	6042	2973	2	2	5946
13470	7290	56	106	361	5936
8129	6042	1187	5	5	5935
10570	6059	984	6	6	5904
7525	6042	1967	3	3	5901
20633	7551	5888	1	1	5888
8491	6042	2940	2	2	5880
6091	6042	1468	4	4	5872
8293	6042	2930	2	2	5860
9355	6042	2923	2	2	5846
6389	6042	1450	4	4	5800
9729	6042	5797	1	1	5797
5895	6042	1930	3	3	5790
6771	6042	2884	2	2	5768
5979	6042	2879	2	2	5758
9397	6042	5715	1	1	5715
8925	6042	2842	2	2	5684
6335	6042	710	8	8	5680
7023	6042	1415	4	4	5660
12431	6336	5652	1	1	5652
9565	6042	5643	1	1	5643
6339	6042	5624	1	1	5624
37691	6975	5600	1	7677	5600
5839	6042	1854	3	3	5562
7439	6042	1851	3	3	5553
3990	3604	16	347	2612	5552
8953	6042	2764	2	2	5528
7893	6042	1840	3	3	5520
10255	6062	52	106	106	5512
10256	6063	52	106	106	5512
10257	6064	52	106	106	5512
10258	6065	52	106	106	5512
9137	6042	2750	2	2	5500
24480	10910	5500	1	1	5500
9151	6042	5479	1	1	5479
31165	7925	76	72	6480	5472
31420	7809	76	72	6480	5472
31544	7856	76	72	6408	5472
6503	6042	1094	5	5	5470
9125	6042	2733	2	2	5466
3999	3610	16	340	340	5440
4004	3608	4	1357	1357	5428
4005	3609	4	1357	1357	5428
9101	6042	5403	1	1	5403
9001	6042	5402	1	1	5402
6087	6042	490	11	11	5390
4497	3840	15	359	359	5385
6797	6042	2681	2	2	5362
8963	6042	5349	1	1	5349
6355	6042	1332	4	4	5328
4165	3771	4	1326	1326	5304
4166	3772	4	1326	1326	5304
7511	6042	1768	3	3	5304
9147	6042	5279	1	1	5279
7091	6042	2634	2	2	5268
9623	6042	5255	1	1	5255
7931	6042	5253	1	1	5253
8231	6042	2621	2	2	5242
4487	3840	17	307	307	5219
5821	6042	2601	2	2	5202
7761	6042	2599	2	2	5198
6957	6042	2593	2	2	5186
24640	11300	648	8	8	5184
7015	6042	1294	4	4	5176
24507	10946	5168	1	1	5168
8615	6042	5152	1	1	5152
5835	6042	2561	2	2	5122
6029	6042	1280	4	4	5120
7927	6042	5119	1	1	5119
7573	6042	1706	3	3	5118
7873	6042	2556	2	2	5112
3914	3540	8	638	1358	5104
9117	6042	5101	1	1	5101
3537	3363	48	106	106	5088
3538	3364	48	106	106	5088
3539	3365	48	106	106	5088
10112	6059	1272	4	4	5088
35548	44619	5076	1	1	5076
7539	6042	1267	4	4	5068
6623	6042	844	6	6	5064
6745	6042	1012	5	5	5060
9211	6042	2530	2	2	5060
6717	6042	1008	5	5	5040
6731	6042	1260	4	4	5040
4489	3840	11	458	458	5038
7493	6042	837	6	6	5022
4494	3840	16	313	313	5008
9205	6042	1667	3	3	5001
5326	5569	5000	1	1	5000
5327	5571	5000	1	1	5000
12355	6180	5000	1	2	5000
5293	5522	2496	2	2	4992
6069	6042	624	8	8	4992
8145	6042	2493	2	2	4986
7177	6042	2490	2	2	4980
8523	6042	2489	2	2	4978
5973	6042	2482	2	2	4964
9627	6042	4964	1	1	4964
9995	6042	4946	1	1	4946
6137	6042	1234	4	4	4936
3588	3366	56	88	88	4928
9815	6042	4925	1	1	4925
7751	6042	1641	3	3	4923
9353	6042	2455	2	2	4910
4484	3840	13	376	376	4888
31159	7925	52	94	8460	4888
31414	7809	52	94	8460	4888
31538	7856	52	94	8366	4888
6907	6042	1629	3	3	4887
6043	6042	698	7	7	4886
31132	7922	12	406	36540	4872
31387	7806	12	406	36540	4872
31511	7853	12	406	36134	4872
6185	6042	972	5	5	4860
8959	6042	4851	1	1	4851
7943	6042	2422	2	2	4844
8677	6042	1606	3	3	4818
6151	6042	1201	4	4	4804
6007	6042	2396	2	2	4792
20597	7545	4784	1	1	4784
20615	7552	4784	1	1	4784
9025	6042	4782	1	1	4782
7467	6042	4776	1	1	4776
8633	6042	4763	1	1	4763
6959	6042	1189	4	4	4756
10043	6060	1	4756	4756	4756
9089	6042	2376	2	2	4752
6569	6042	950	5	5	4750
9713	6042	4736	1	1	4736
9307	6042	2361	2	2	4722
6361	6042	674	7	7	4718
7579	6042	1572	3	3	4716
10259	6062	76	62	62	4712
10260	6063	76	62	62	4712
10261	6064	76	62	62	4712
10262	6065	76	62	62	4712
8549	6042	2355	2	2	4710
7341	6042	2337	2	2	4674
7835	6042	4668	1	1	4668
9345	6042	2334	2	2	4668
8091	6042	4663	1	1	4663
7877	6042	4651	1	1	4651
9537	6042	4649	1	1	4649
8271	6042	2323	2	2	4646
8961	6042	4643	1	1	4643
7779	6042	4637	1	1	4637
6445	6042	1159	4	4	4636
9659	6042	4636	1	1	4636
7311	6042	771	6	6	4626
9041	6042	4623	1	1	4623
6479	6042	1153	4	4	4612
6921	6042	1537	3	3	4611
3927	3541	36	128	128	4608
10235	6062	36	128	128	4608
10236	6063	36	128	128	4608
10237	6064	36	128	128	4608
10238	6065	36	128	128	4608
29519	26241	32	144	624	4608
5917	6042	2302	2	2	4604
3996	3608	20	230	230	4600
3997	3609	20	230	230	4600
9917	6042	4599	1	1	4599
8031	6042	2296	2	2	4592
8177	6042	4590	1	1	4590
7993	6042	2292	2	2	4584
9377	6042	4584	1	1	4584
9629	6042	4577	1	1	4577
6025	6042	2288	2	2	4576
9631	6042	4571	1	1	4571
7487	6042	4569	1	1	4569
7371	6042	4567	1	1	4567
7489	6042	4563	1	1	4563
7753	6042	2279	2	2	4558
9271	6042	2278	2	2	4556
7011	6042	911	5	5	4555
8441	6042	1516	3	3	4548
4208	3818	32	142	170	4544
9521	6042	4527	1	1	4527
9379	6042	4523	1	1	4523
19956	7814	96	47	4254	4512
20006	7861	96	47	4207	4512
20064	7930	96	47	4254	4512
5993	6042	2250	2	2	4500
7961	6042	1499	3	3	4497
5899	6042	2245	2	2	4490
4020	3604	128	35	35	4480
5805	6042	2234	2	2	4468
9887	6042	4467	1	1	4467
7029	6042	1482	3	3	4446
7939	6042	1481	3	3	4443
24709	11512	4432	1	1	4432
24715	11537	4432	1	1	4432
24962	12918	4432	1	1	4432
26531	20265	4432	1	1	4432
27632	22974	4432	1	1	4432
27646	23020	4432	1	1	4432
28362	23838	4432	1	2	4432
28373	23883	4432	1	1	4432
29436	25960	4432	1	1	4432
33256	37391	4432	1	2	4432
33489	38126	4432	1	1	4432
36236	46679	4432	1	2	4432
38347	53528	4432	1	1	4432
38355	53562	4432	1	1	4432
38430	53919	4432	1	1	4432
38503	54230	4432	1	1	4432
38507	54240	4432	1	1	4432
38773	55464	4432	1	1	4432
38975	56171	4432	1	1	4432
39079	56886	4432	1	1	4432
39080	56888	4432	1	1	4432
39081	56895	4432	1	1	4432
39140	57125	4432	1	1	4432
39156	57194	4432	1	1	4432
39559	59069	4432	1	1	4432
7899	6042	4428	1	1	4428
5801	6042	2209	2	2	4418
9123	6042	4417	1	1	4417
4491	3840	14	315	315	4410
9129	6042	4410	1	1	4410
8967	6042	4408	1	1	4408
9037	6042	1469	3	3	4407
7711	6042	4402	1	1	4402
27302	21444	4399	1	1	4399
6483	6042	875	5	5	4375
9725	6042	4372	1	1	4372
18910	7228	4368	1	1	4368
6787	6042	4362	1	1	4362
9439	6042	4359	1	1	4359
3546	3363	36	121	121	4356
3547	3364	36	121	121	4356
3548	3365	36	121	121	4356
7765	6042	871	5	5	4355
8519	6042	4353	1	1	4353
7095	6042	2173	2	2	4346
6277	6042	1085	4	4	4340
9375	6042	4334	1	1	4334
6313	6042	1444	3	3	4332
6099	6042	866	5	5	4330
9739	6042	4330	1	1	4330
6505	6042	1442	3	3	4326
4277	3773	96	45	45	4320
9717	6042	4320	1	1	4320
9181	6042	4319	1	1	4319
8451	6042	719	6	6	4314
6071	6042	1078	4	4	4312
6089	6042	616	7	7	4312
9261	6042	4310	1	1	4310
9791	6042	4305	1	1	4305
10003	6042	4285	1	1	4285
8087	6042	2138	2	2	4276
8159	6042	4262	1	1	4262
7033	6042	852	5	5	4260
8533	6042	4256	1	1	4256
27504	21444	4246	1	1	4246
6579	6042	848	5	5	4240
9367	6042	4238	1	1	4238
9259	6042	4237	1	1	4237
7269	6042	4234	1	1	4234
7741	6042	4233	1	1	4233
6337	6042	4229	1	1	4229
7791	6042	4227	1	1	4227
7907	6042	1409	3	3	4227
7689	6042	4226	1	1	4226
7837	6042	4225	1	1	4225
8999	6042	2112	2	2	4224
10353	6059	384	11	11	4224
12581	6602	176	24	24	4224
9719	6042	4222	1	1	4222
8815	6042	1406	3	3	4218
9951	6042	4209	1	1	4209
8059	6042	2102	2	2	4204
8135	6042	1401	3	3	4203
7349	6042	4202	1	1	4202
31827	33928	42	100	6200	4200
31937	33958	42	100	6200	4200
32047	33988	42	100	4600	4200
7373	6042	4199	1	1	4199
8075	6042	4196	1	1	4196
3998	3605	32	131	132	4192
7567	6042	2092	2	2	4184
7789	6042	4184	1	1	4184
9821	6042	4181	1	1	4181
9245	6042	2088	2	2	4176
3723	3440	8	521	2618	4168
12011	6059	4152	1	1	4152
9373	6042	4145	1	1	4145
6683	6042	4144	1	1	4144
23290	7206	2072	2	2	4144
23291	7207	2072	2	2	4144
23292	7208	2072	2	2	4144
23309	7229	2072	2	2	4144
23310	7230	2072	2	2	4144
23311	7231	2072	2	2	4144
27183	22054	112	37	37	4144
8919	6042	4143	1	1	4143
6813	6042	4138	1	1	4138
10828	6060	86	48	48	4128
6095	6042	686	6	6	4116
9811	6042	4114	1	1	4114
7803	6042	4103	1	1	4103
3585	3363	256	16	16	4096
3586	3364	256	16	16	4096
3587	3365	256	16	16	4096
9477	6042	2048	2	2	4096
9941	6042	4096	1	1	4096
13079	7086	2048	2	62	4096
13080	7086	4096	1	55	4096
20200	7961	4096	1	1	4096
20276	7981	4096	1	1	4096
20580	8059	4096	1	1	4096
24746	11609	4096	1	1	4096
24952	12870	4096	1	1	4096
25881	17687	4096	1	1	4096
34335	40820	4096	1	1	4096
34452	41452	4096	1	1	4096
34680	42148	4096	1	1	4096
6409	6042	1363	3	3	4089
9451	6042	4088	1	1	4088
7833	6042	4086	1	1	4086
7883	6042	2043	2	2	4086
7333	6042	2042	2	2	4084
8505	6042	4084	1	1	4084
7483	6042	1361	3	3	4083
8023	6042	4071	1	1	4071
8121	6042	4069	1	1	4069
6567	6042	813	5	5	4065
9219	6042	4060	1	1	4060
8179	6042	4059	1	1	4059
7279	6042	675	6	6	4050
7787	6042	4044	1	1	4044
9605	6042	4042	1	1	4042
7411	6042	4041	1	1	4041
6833	6042	2019	2	2	4038
5233	5429	4032	1	1	4032
5238	5431	4032	1	1	4032
5243	5434	4032	1	1	4032
5740	5925	4032	1	1	4032
5753	5931	4032	1	1	4032
6125	6042	448	9	9	4032
8133	6042	1343	3	3	4029
7383	6042	4022	1	1	4022
9091	6042	804	5	5	4020
6447	6042	1004	4	4	4016
9363	6042	4014	1	1	4014
9709	6042	4009	1	1	4009
9981	6042	4006	1	1	4006
5267	5489	4000	1	1	4000
5280	5505	4000	1	1	4000
5329	5577	4000	1	1	4000
6773	6042	800	5	5	4000
6543	6042	999	4	4	3996
7813	6042	3991	1	1	3991
8175	6042	3986	1	1	3986
9311	6042	3980	1	1	3980
9183	6042	3978	1	1	3978
7087	6042	1986	2	2	3972
8527	6042	3959	1	1	3959
8531	6042	3953	1	1	3953
6221	6042	564	7	7	3948
9081	6042	1973	2	2	3946
9455	6042	3945	1	1	3945
8623	6042	3942	1	1	3942
8101	6042	1312	3	3	3936
8193	6042	3935	1	1	3935
9639	6042	3930	1	1	3930
6809	6042	3926	1	1	3926
6395	6042	981	4	4	3924
9127	6042	3924	1	1	3924
7725	6042	3922	1	1	3922
8207	6042	3920	1	1	3920
7407	6042	1959	2	2	3918
8021	6042	3913	1	1	3913
7825	6042	1304	3	3	3912
9433	6042	3909	1	1	3909
8077	6042	1954	2	2	3908
9191	6042	3908	1	1	3908
9069	6042	3906	1	1	3906
13338	7241	488	8	98	3904
13339	7242	488	8	88	3904
13340	7275	488	8	98	3904
13341	7243	488	8	98	3904
13342	7244	488	8	98	3904
13343	7245	488	8	98	3904
13344	7276	488	8	98	3904
13348	7247	488	8	98	3904
13349	7248	488	8	98	3904
